"","Company","Year","Start Year Revenue (USD)","Revenue Growth (NYU CAGR)","Revenue Growth (S&P)","Scope 1 Emission Intensity (Company) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 2 Emission Intensity (Company) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 2 Emission Intensity (Sector Max) (tCO2e/USD)","Scope 1&2 Emission Intensity (Company) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Mean) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Min) (tCO2e/USD)","Scope 1&2 Emission Intensity (Sector Max) (tCO2e/USD)","End Target (Current)","End Target (None to NZT)","End Target (Top 50% None to NZT)","Interim Target (Current)","Interim Target (None to 50% by 2030)","Slowdown (2022) End Target (Current) Revenue Growth (S&P)","Slowdown (2022) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2022) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Current) Revenue Growth (S&P)","Slowdown (2030) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2030) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Current) Revenue Growth (S&P)","Slowdown (2040) End Target (Current) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (None to NZT) Revenue Growth (NYU CAGR)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (S&P)","Slowdown (2040) End Target (Top 50% None to NZT) Revenue Growth (NYU CAGR)","Company Type"
"13636","apple","2021","365817000000.0","1.0286348503464915","1.021711144315097","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","Herd"
"13637","apple","2022","365817000000.0","1.043258306595923","1.0327428471657552","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.8888888888888888","0.8888888888888888","0.8888888888888888","","0.9444444444444444","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","0.9655172413793104","1.0327428471657552","1.043258306595923","1.0327428471657552","1.043258306595923","1.0327428471657552","1.043258306595923","1.0327428471657552","1.043258306595923","1.0327428471657552","1.043258306595923","1.0327428471657552","1.043258306595923","Herd"
"13638","apple","2023","365817000000.0","1.0580896553473496","1.0438936624176651","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.7777777777777778","0.7777777777777778","0.7777777777777778","","0.8888888888888888","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","0.9310344827586208","1.0438936624176651","1.0580896553473496","1.0438936624176651","1.0580896553473496","1.0438936624176651","1.0580896553473496","1.0438936624176651","1.0580896553473496","1.0438936624176651","1.0580896553473496","1.0438936624176651","1.0580896553473496","Herd"
"13639","apple","2024","365817000000.0","1.0731318520780313","1.0551648761609551","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.6666666666666667","0.6666666666666667","0.6666666666666667","","0.8333333333333334","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","0.896551724137931","1.0551648761609551","1.0731318520780313","1.0551648761609551","1.0731318520780313","1.0551648761609551","1.0731318520780313","1.0551648761609551","1.0731318520780313","1.0551648761609551","1.0731318520780313","1.0551648761609551","1.0731318520780313","Herd"
"13640","apple","2025","365817000000.0","1.088387894281392","1.0665577883720303","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.5555555555555556","0.5555555555555556","0.5555555555555556","","0.7777777777777778","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","0.8620689655172413","1.0665577883720303","1.088387894281392","1.0665577883720303","1.088387894281392","1.0665577883720303","1.088387894281392","1.0665577883720303","1.088387894281392","1.0665577883720303","1.088387894281392","1.0665577883720303","1.088387894281392","Herd"
"13641","apple","2026","365817000000.0","1.103860822064339","1.078073713063507","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.4444444444444444","0.4444444444444444","0.4444444444444444","","0.7222222222222222","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","0.8275862068965517","1.078073713063507","1.103860822064339","1.078073713063507","1.103860822064339","1.078073713063507","1.103860822064339","1.078073713063507","1.103860822064339","1.078073713063507","1.103860822064339","1.078073713063507","1.103860822064339","Herd"
"13642","apple","2027","365817000000.0","1.119553718753073","1.089713978435766","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.3333333333333333","0.3333333333333333","0.3333333333333333","","0.6666666666666667","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","0.7931034482758621","1.089713978435766","1.119553718753073","1.089713978435766","1.119553718753073","1.089713978435766","1.119553718753073","1.089713978435766","1.119553718753073","1.089713978435766","1.119553718753073","1.089713978435766","1.119553718753073","Herd"
"13643","apple","2028","365817000000.0","1.135469711507507","1.1014799270301414","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.2222222222222223","0.2222222222222223","0.2222222222222223","","0.6111111111111112","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","0.7586206896551724","1.1014799270301414","1.135469711507507","1.1014799270301414","1.135469711507507","1.1014799270301414","1.135469711507507","1.1014799270301414","1.135469711507507","1.1014799270301414","1.135469711507507","1.1014799270301414","1.135469711507507","Herd"
"13644","apple","2029","365817000000.0","1.1516119719444255","1.1133729158837635","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.1111111111111111","0.1111111111111111","0.1111111111111111","","0.5555555555555556","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","0.7241379310344828","1.1133729158837635","1.1516119719444255","1.1133729158837635","1.1516119719444255","1.1133729158837635","1.1516119719444255","1.1133729158837635","1.1516119719444255","1.1133729158837635","1.1516119719444255","1.1133729158837635","1.1516119719444255","Herd"
"13645","apple","2030","365817000000.0","1.1679837167694986","1.1253943166860754","1.5089511969099302e-07","0.0004695435377454","1.7558519937836708e-10","0.0484282036278525","2.7424805298824275e-06","0.0049139346799211","7.745419137824201e-11","0.5975841678887017","2.8933756495734207e-06","0.0053671947035583","4.8237897962658196e-09","0.5995822784810126","0.0","0.0","0.0","","0.5","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","0.6896551724137931","1.0603551579845367","1.0967733066137386","1.0603551579845367","1.0967733066137386","1.0603551579845367","1.0967733066137386","1.1253943166860754","1.1679837167694986","1.1253943166860754","1.1679837167694986","1.1253943166860754","1.1679837167694986","Herd"
